Name,Role_Top,Role_Jungle,Role_Middle,Role_Bottom,Role_Support,Tag_Assassin,Tag_Fighter,Tag_Mage,Tag_Marksman,Tag_Support,Tag_Tank,Is_Ranged,Res_Mana,Res_Energy,Res_Other,Base HP,HP per lvl,Base mana,Mana per lvl,Movement speed,Base armor,Armor per lvl,Base magic resistance,Magic resistance per lvl,Attack range,HP regeneration,HP regeneration per lvl,Mana regeneration,Mana regeneration per lvl,Attack damage,Attack damage per lvl,Attack speed per lvl,Attack speed,AS ratio
Aatrox,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,650,114,0,0.0,345,38,4.8,32,2.05,175,3.0,0.5,0.0,0.0,60,5.0,2.5,0.651,0.651
Ahri,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,590,104,418,25.0,330,21,4.7,30,1.3,550,2.5,0.6,8.0,0.8,53,3.0,2.2,0.668,0.625
Akali,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,600,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,62,3.3,3.2,0.625,0.625
Akshan,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,630,107,350,40.0,330,26,4.7,30,1.3,500,3.75,0.65,8.2,0.7,52,3.0,4.0,0.638,0.4
Alistar,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,685,120,350,40.0,330,47,4.7,32,2.05,125,8.5,0.85,8.5,0.8,62,3.75,2.125,0.625,0.625
Amumu,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,685,94,285,40.0,335,33,4.0,32,2.05,125,9.0,0.85,7.4,0.55,57,3.8,2.18,0.736,0.638
Anivia,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,550,92,495,45.0,325,21,4.9,30,1.3,600,5.5,0.55,8.0,0.8,51,3.2,1.68,0.658,0.625
Annie,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,560,102,418,25.0,335,19,4.7,30,1.3,625,5.5,0.55,8.0,0.8,50,2.65,1.36,0.61,0.625
Aphelios,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,580,102,348,42.0,325,26,4.2,30,1.3,550,3.25,0.55,6.5,0.4,55,2.3,2.1,0.64,0.64
Ashe,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,640,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,59,2.95,3.33,0.658,0.658
Aurelion Sol,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,620,90,530,40.0,335,22,4.0,30,1.3,550,5.5,0.55,8.0,0.75,55,3.2,1.5,0.625,0.625
Azir,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,550,119,320,40.0,335,22,5.0,30,1.3,525,3.5,0.75,8.0,0.8,52,3.5,6.0,0.625,0.694
Bard,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,630,103,350,50.0,330,34,5.0,30,1.3,500,5.5,0.55,6.0,0.45,52,3.0,2.0,0.658,0.658
Bel'Veth,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,610,99,60,0.0,340,32,4.7,32,2.05,175,6.0,0.6,0.0,0.0,60,1.5,0.0,0.85,0.85
Blitzcrank,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,600,109,267,40.0,325,37,4.7,32,2.05,125,7.5,0.75,8.5,0.8,62,3.5,1.13,0.625,0.625
Brand,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,570,105,469,21.0,340,27,4.2,30,1.3,550,5.5,0.55,10.65,0.6,57,3.0,2.0,0.681,0.625
Braum,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,610,112,311,45.0,335,47,5.2,32,2.05,125,8.5,1.0,7.0,0.8,55,3.2,3.5,0.644,0.644
Briar,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,590,95,0,0.0,340,30,4.2,32,2.05,125,0.0,0.0,0.0,0.0,60,3.0,2.0,0.644,0.669
